id_str,from_user,text,created_at,time,in_reply_to_user_id,user_followers_count,friends_count
1383949508858417158,Aira43225959,"buat teman-teman online ku yg mau liburan di tanggal muda, tapi belum gajian/ tenang pesan aja dulu tiketnya bayarn… https://t.co/bf6o7Q9wWo",2021-06-04 13:09:07,2021-06-04 13:09:07,,8,39
1300463683143757824,harapDIMAklum,"yang mau liburan tapi takut karna budget pas pasan, tiketin aja pas tanggal muda soalnya banyak diskon menanti ato… https://t.co/Raj4tRcPOC",2021-06-04 13:09:07,2021-06-04 13:09:07,,988,1013
1381086527086714881,Decca976,"tanggal muda gini enaknya ke atraksi sama doi ya kan, biar so sweet dan tambah langgeng xiuxiuuuu, liburan jd gampa… https://t.co/5wM7T0Lbm4",2021-06-04 13:09:05,2021-06-04 13:09:05,,16,5
1386696357381959682,Reza0597364053,"Keliling kota pakai Paylater bisa banget dong,yuk jangan tunda lagi liburanmu guys.. Happy holiday everyone, yuk li… https://t.co/kM1MnRLH3M",2021-06-04 13:09:05,2021-06-04 13:09:05,,0,0
1374852121716088833,209_andre,untung ada Paylater jadi ga pelru Malu tanggal muda lagi bisa road trip keliling kota apalagi ada diskon Up to 310R… https://t.co/jRF0S4aHBm,2021-06-04 13:09:04,2021-06-04 13:09:04,,37,39
1155371524469080064,StaveWilson,Mau liburan tapi duit gajian abis buat bayar tagihan? Fix jangan khawatir karna di @tiket yang diskonnya sampe 310R… https://t.co/gnRsEHezcX,2021-06-04 13:09:03,2021-06-04 13:09:03,,2,2
1390243766892519425,LapukKasur,"jgn lama lama deh Yuk buruan boking tiketnya, asksksk mending pake Paylater deh klo mau road trip jd ga perlu nungg… https://t.co/qwckT2gx70",2021-06-04 13:09:02,2021-06-04 13:09:02,,1,1
1361994116121329671,zeeirawann,"Malu sama tanggal muda klo cuma dirumah aja, mending keliling Indonesia mumpung diskon up to 310Rb dan bs pakai Pay… https://t.co/Xwrpiovgmb",2021-06-04 13:08:56,2021-06-04 13:08:56,,136,129
1370992608844029953,RaisaDina2,"tanggal muda enaknya liburan guys, hahah mumpung ada byk diskon nih dari tiket pesawat sampe pesan tiket pesawat pu… https://t.co/WH7bcVJhg3",2021-06-04 13:08:55,2021-06-04 13:08:55,,8,8
4664039054,eling_pras,dgn di tiketin semua mah bs jalan ini gue mau pesen tiket pesawat dan ternyata ngga ribet samsek ada diskon penerba… https://t.co/11yiOkSyiu,2021-06-04 13:08:53,2021-06-04 13:08:53,,1,6
1394699160167714820,amatayakwul,"Mumpung tanggal muda lagi ada diskonnya nih hingga 50%, bisa ajak semua keluarga kamu juga buat liburan , keliling… https://t.co/jC8lFNK395",2021-06-04 13:08:53,2021-06-04 13:08:53,,0,0
1397232725799489536,edrichavidson,"Suka banget deh kalo diskonnya @tiket dateng pas tanggal muda gini, sanyang kalo dianggurin gitu aja, apaalagi baru… https://t.co/AFtHikd8B1",2021-06-04 13:08:48,2021-06-04 13:08:48,,1,1
1386696987764920320,Hamizan90261798,"Pengen liburan tapi dompet kering? Jangan sampe malu sama tanggal muda dong, beli tiketnya pakai Paylater aja bayar… https://t.co/vnPh1hP1KD",2021-06-04 13:08:48,2021-06-04 13:08:48,,0,0
1138996566142771201,DNLTY018,@WE_THE_BOYZ ciee liburan yaa abis kd 😍,2021-06-04 13:08:48,2021-06-04 13:08:48,946322930031403008,3372,2993
2649520530,Mbuwvlan,Mau liburan tp duit gajian abis buat bayar tagihan? Udahhh gak usah khawatir karna di @tiket ada diskon sampe 50% t… https://t.co/KY2bdTWj02,2021-06-04 13:08:43,2021-06-04 13:08:43,,64,0
1380003278537170952,pagi_kamis,"Tanggal merah ya emang enaknya liburan lah, mumpung tanggal muda lagi banyak diskon up to 50% loh, gaboleh dilewati… https://t.co/eEMd8RpBGv",2021-06-04 13:08:43,2021-06-04 13:08:43,,0,2
1376544456711630851,Dennis6707,Asikkk Pake Paylater bisa road trip keliling kota dengan diskon Up to 310Rb IDR bisa pesan tiket pesawat ke semua r… https://t.co/aHzOAiXPsU,2021-06-04 13:08:43,2021-06-04 13:08:43,,36,39
1376888968474595331,c9ndia_,"Meski budget buat liburan terbatas, klo liburannya udah ditemenin sama @tiket mah jd tenang aja gitu. Berkat promo2… https://t.co/ISwkpP4H0O",2021-06-04 13:08:39,2021-06-04 13:08:39,,38,38
1384115486170882068,TinaReta6,"sayang banget kalo diskonnya @tiket dianggurin gitu aja, apaalagi baru gajian. beneran up to 310Rb buset gas gak si… https://t.co/gjKUllaDpL",2021-06-04 13:08:38,2021-06-04 13:08:38,,29,32
1373859712551153669,TabanZhafi,"Biar hemat pengeluaran buat liburan yuk cek @tiket karena ada promo liburan untuk tanggal muda, lengkap banget dari… https://t.co/aa47SSR2GO",2021-06-04 13:08:36,2021-06-04 13:08:36,,234,282
1381087133725691906,Denaa976,"malu banget sama tanggal muda kalau gak ambil diskon up to 310Rb dari atraksi,aww aku ambil ajadeh, liburan jd gamp… https://t.co/QEbPkeBgqu",2021-06-04 13:08:33,2021-06-04 13:08:33,,14,5
1389155209968947206,FahmiN62475828,"ada diskon up to 310Rb buat kalian yang mau road trip pesan tiket pesawat, biar gak malu sama tanggal muda yakan, y… https://t.co/VXLcSsLiE4",2021-06-04 13:08:29,2021-06-04 13:08:29,,0,0
1389135199980584960,baitidurriya3,"diskon tanggal muda bs liburan ditanggal merah, asikk bener airport tranfer hayuk bs di tiketin aja deh ya kuy ada… https://t.co/VjK6kh3iC7",2021-06-04 13:08:29,2021-06-04 13:08:29,,0,0
1397232287805177857,seancendirc,"Tunggu apa lagi sih, kesempatan liburan low budget di depan mata loh buruan cek @tiket karena ada diskon banyak, li… https://t.co/Tn9YMl6e1E",2021-06-04 13:08:26,2021-06-04 13:08:26,,1,6
978148426046095361,cukuptauyah_,YA ALLAAH PENGEN LIBURAN 😭,2021-06-04 13:08:25,2021-06-04 13:08:25,,4781,903
1281169496628060161,sakisakinhanee,Aduh klo ngga liburan ini mah ah sama aja ngga tahu https://t.co/OFHsFiOX57 #MaluTanggalMuda !! Apalagi lagi banyak… https://t.co/v14oWyxve7,2021-06-04 13:08:23,2021-06-04 13:08:23,,150,162
1385963333157756928,AndiBejo16,"Mau liburan bareng keluarga nih mumpung tanggal muda kayak gini, terlihat ada banyak diskon soalnya, dari tiket pes… https://t.co/CjhP5TBKCc",2021-06-04 13:08:21,2021-06-04 13:08:21,,116,121
1376175192070782976,HerlianiAe,"Heyy Malu tanggal muda dongg, road trip keliling kota aja nih pake Paylater diskon Up to 310Rb IDR bisa pesan tiket… https://t.co/WtnDB1THdk",2021-06-04 13:08:21,2021-06-04 13:08:21,,36,35
1320578445512863745,pyocarisweat,"Pass liburan sekolah tahun 2017...... gue nontonin ulang zerobase, dan semua konten wanawan sebelumnya cuma buat li… https://t.co/c8vp3KyTuz",2021-06-04 13:08:17,2021-06-04 13:08:17,,109,149
1380004368993280000,Kamispagi4,"Gak usah khawatir mau liburan apalagi tanggal muda gini, ajak keluarga kamu yuk ada banyak diskonnya nih bisa pakai… https://t.co/IpnjJBmbBq",2021-06-04 13:08:16,2021-06-04 13:08:16,,0,1
1394699865402220546,yuljemc,Tanggal muda alias baru gajian babgey banget disambut sama diskon sewa 50% dari https://t.co/Dx0kwLt9jJ langsung at… https://t.co/TZY1Q4bQDS,2021-06-04 13:08:14,2021-06-04 13:08:14,,0,3
1388032876084490243,saturdai3,Nih aku kasih tau kalau @tiket ngadain promo gede-gedean untuk kalian yg mau liburan dlu tapi bayarnya belakangan.… https://t.co/I4j1kMJkhH,2021-06-04 13:08:13,2021-06-04 13:08:13,,0,6
1389834009157390338,Ruhud9,Mau liburan tp duit pas-pasan? buruan deh cek promo nya di https://t.co/R3WjI5EkKH krn bs bayar pake tiket paylater… https://t.co/KTjFAvPgGN,2021-06-04 13:08:12,2021-06-04 13:08:12,,3,2
1377035224131858432,yay8an,"Liburannya skrg, bayarnya nanti! Itu lah salah satu keistimewaan @tiket keren kan bs PayLater. jd makin semangat ni… https://t.co/eXZpFzOswc",2021-06-04 13:08:10,2021-06-04 13:08:10,,59,63
1390242918825222146,MejaBun00690997,"Buruan Pesan dr skrg, emang road trip paling manteb tuh pake Paylater dah, keliling kota pake mobil dgn diskon up t… https://t.co/2DpIoWTM9c",2021-06-04 13:08:09,2021-06-04 13:08:09,,12,12
1375226848473407488,ehmasadepan,"bayar pake Paylater itu liburan itu sekarang, bayarnya ya nanti aja mks ya Paylater udah mau ngerti keuangan aku he… https://t.co/DzJZtzZ0oe",2021-06-04 13:08:04,2021-06-04 13:08:04,,70,84
1391790910241841152,AnaBaen29728631,"Asik asik.. Akhirnya jadi pergi liburan juga. Diskon tanggal muda dari @tiket sungguh sungguh membantu banget deh,… https://t.co/HYOuqPILL8",2021-06-04 13:08:04,2021-06-04 13:08:04,,0,29
1307519621788921856,AghniAlhusna,"Abis gajian gini enaknya liburan nih apalagi ada diskon up to 310Rb untuk all product, kalo gini sih gak jadi malu… https://t.co/FYILOS6qrV",2021-06-04 13:08:02,2021-06-04 13:08:02,,494,446
1393830008657874946,gossddp,"Urusan liburan bs bgt nanti aja bayarnya, Keren bgt ya bs bayar pake Paylater, liburan itu skrg, bayarnya nanti oke… https://t.co/ywxx9lvZEq",2021-06-04 13:08:01,2021-06-04 13:08:01,,0,0
1381241662458896392,please_twitt,Mantul banget nihh buat yg Malu tanggal muda tapi pingin road trip keliling kota jawabannya pake Paylater Up to 310… https://t.co/ilahAJlUgL,2021-06-04 13:08:00,2021-06-04 13:08:00,,40,38
1389540457986674693,Elena94361552,"Yeayyy saatnya liburan, ayuk aja keluarga kamu buat liburan jg mumpung tanggal muda nih di tiketin aja banyak disko… https://t.co/mQ0QjNt8Jd",2021-06-04 13:07:56,2021-06-04 13:07:56,,9,9
1321689585118633984,azazazqy,"Asik bgt nih bisa liburan skrg bayarnya nanti pas udah gajian, inilah saatnya utk menjernihkan pikiran dgn cara lib… https://t.co/EslvMwYXqv",2021-06-04 13:07:54,2021-06-04 13:07:54,,27,31
1382800775487713280,isntsidney,"Tenang aja klo liburan di tanggal muda gini tetep bs ngirit kok, kan ada diskonya up to Rp 310rb dan jg bs pakay Pa… https://t.co/cHdLpbuCio",2021-06-04 13:07:52,2021-06-04 13:07:52,,1,0
1353277384858820608,Anandadia7,"Jalan-jalan keliling kota enak jg kali ya, nah tanggal muda ini ada byk diskon loh buat kamu pesan tiket pesawat bs… https://t.co/0o9MdqZQPO",2021-06-04 13:07:50,2021-06-04 13:07:50,,55,156
2496595118,TomasMingo747,"Mantep harga hotel diskon 500rb, otw gw bookinglah buat liburan bareng keluarga, asik deh hahaha. Diskon 50% hoteln… https://t.co/bNNJUbFkJ2",2021-06-04 13:07:50,2021-06-04 13:07:50,,6,34
1308428260162768896,aman_alwii,"Bayar pake Paylater bs keliling Indonesia dan dapat diskon up to 310Rb loh, malu sama tanggal muda klo nyia-nyiain… https://t.co/OIay8hsilR",2021-06-04 13:07:47,2021-06-04 13:07:47,,85,96
1397068390276075524,zalzilzuliya,"Wahh tanggal muda emang ya diskonnya mantep mantep banget mumpung mau liburan ada diskon up to Rp 550.000 loh, gak… https://t.co/zCimL53QGO",2021-06-04 13:07:46,2021-06-04 13:07:46,,0,0
1380851195464482817,imtiyazzahra6,"staycation sama keluarga jgn sampai terlewatkan harus jd dong ya,kan semalem udah keep di tiketin yuhuu bs pesen li… https://t.co/6CYoHr8CYC",2021-06-04 13:07:40,2021-06-04 13:07:40,,38,46
1376549898326142979,Ayangbeib3,Hayuk ihhh Malu tau tanggal muda mending road trip keliling kota pake Paylater Up to 310Rb IDR bisa pesan tiket pes… https://t.co/iKc9a7Y7vE,2021-06-04 13:07:40,2021-06-04 13:07:40,,38,38
1389159757563322375,CintaAira3,"siapa yang mau jalan jalan tapi gaji tanggal muda belum cair juga? mending pake Paylater aja biar ga, yuk liburan s… https://t.co/iFG5MibyrC",2021-06-04 13:07:38,2021-06-04 13:07:38,,0,0
1389159757563322375,CintaAira3,"siapa yang mau jalan jalan tapi gaji tanggal muda belum cair juga? mending pake Paylater aja biar ga, yuk liburan s… https://t.co/uKzYH0WuLj",2021-06-04 13:07:38,2021-06-04 13:07:38,,0,0
1381088398262210574,Darikaa976,"lagi menikmati diskon up to 310Rb dari atraksi, main ke atraksi di tanggal muda ternyata buanyak diskonnya, liburan… https://t.co/a3hz4Hv8l0",2021-06-04 13:07:35,2021-06-04 13:07:35,,14,5
1355853265469022211,pluvio_pil,"@kwcsix gatau jelasinnya, pokoknya kalo ke Jawa ya berarti hawa liburan buat aku😂😂 makanya udaranya kaya lebih ring… https://t.co/ZVy8G2TUBV",2021-06-04 13:07:32,2021-06-04 13:07:32,1074884764820066304,184,149
1092975597586853888,putpupuut,@Tantwd_ Wait aku panggil pasukan @Lestariayu_h @bugsbunnyy24 @RachelLarasati1 diajakin liburan nih 🤭,2021-06-04 13:07:30,2021-06-04 13:07:30,1399935530532364294,312,284
1014698424032157696,yeah_ly,"RT @nctzenhalu: /nctzh/
""Lupakan skripsimu, mari kita liburan bersama"" - Para mahasiswa tingkat akhir yang sudah pusing dengan skripsi

 ht…",2021-06-04 13:07:29,2021-06-04 13:07:29,,2,136
1373929378116038657,EmaknyaRJ1,"o yang banyak tagihan setiap tanggal muda mana nih, gaperlu khawatir kalo kalian mau liburan bisa kok beli tiket di… https://t.co/yY6jeWiApt",2021-06-04 13:07:27,2021-06-04 13:07:27,,0,0
1397853201039118342,Keiiimica,"dgn adanya tiket Paylater ini sangat membantu bgt buat yg mau liburan tp budgetnya masih belum tercukupi, pokoknya… https://t.co/2Td9gx6v0c",2021-06-04 13:07:24,2021-06-04 13:07:24,,5,10
1338316438050725888,IyahNamaku,"mantep harga hotel diskon 500rb, otw kan gw bookinglah buat liburan bareng keluarga, asikk deh hahaha, hotelnya jug… https://t.co/Ebdp8u7zhL",2021-06-04 13:07:23,2021-06-04 13:07:23,,516,900
1378739909930799106,Cac4_indah,"klo mau pergi liburan tentunya paling pas ya beli tiketnya di @tiket lah, yg pastinya banyak promonya, apalagi di t… https://t.co/sHgcRFtR9j",2021-06-04 13:07:22,2021-06-04 13:07:22,,18,18
1334991073530105857,MKarlinae,"Eh udah tanggal muda nih guys, yuklah planning liburan kamu mumpung saat ini ada banyak diskon dari tiket pesawat,… https://t.co/AL50FYz9QV",2021-06-04 13:07:19,2021-06-04 13:07:19,,152,170
1389134321848438784,balqisufairah6,"siapa sih yg nggk mau diskon apalagi ditanggal muda, mayan bs ngurangin budget, bs bayar pakai PayLater Malu sama t… https://t.co/WgWHwgMUNj",2021-06-04 13:07:18,2021-06-04 13:07:18,,0,0
1302860951691997184,Juliadi_yvcpe,"Mau banget dong liburan ke luar kota, sekarang karena tanggal muda penerbangan domestik pas banget lagi ada diskon… https://t.co/WjtjqILxba",2021-06-04 13:07:15,2021-06-04 13:07:15,,182,829
1388033782737895427,sudaina1,"Jangan lupa ya promo @tiket buat liburan tanggal muda ada diskon pesawat gayss, bisa juga bayar nanti pake tiket pa… https://t.co/ZLwDVVLlaC",2021-06-04 13:07:13,2021-06-04 13:07:13,,0,5
